Date,Close
1,0.2612675
2,0.2599123
3,0.2608742
4,0.2589497
5,0.2548084
6,0.2572316
7,0.2590801
8,0.2566527
9,0.2558901
10,0.2532914
11,0.2551924
12,0.2588077
13,0.2591895
14,0.2610323
15,0.2639096
16,0.2642067
17,0.2631429
18,0.2636011
19,0.2641955
20,0.2643702
21,0.2644281
22,0.2656015
23,0.2663811
24,0.2686755
25,0.2701939
26,0.2713994
27,0.2708593
28,0.270267
29,0.2731985
30,0.2726532
31,0.2705741
32,0.2699587
33,0.2706104
34,0.2681656
35,0.2649251
36,0.2663129
37,0.2711221
38,0.2709042
39,0.2720674
40,0.2677569
41,0.2674469
42,0.2646836
43,0.2662632
44,0.2659711
45,0.2663051
46,0.2656799
47,0.2627197
48,0.2624679
49,0.2663728
50,0.2629738
51,0.2638407
52,0.2634933
53,0.2599934
54,0.2610853
55,0.2642985
56,0.2657565
57,0.2678723
58,0.2685105
59,0.267529
60,0.2688082
61,0.2709817
62,0.2734633
63,0.2786583
64,0.2786038
65,0.2791588
66,0.2786863
67,0.2787473
68,0.2791006
69,0.280089
70,0.2794064
71,0.2804666
72,0.2817788
73,0.2816329
74,0.2803285
75,0.2806756
76,0.2833463
77,0.2849954
78,0.2833805
79,0.2838619
80,0.2843891
81,0.2869399
82,0.2855962
83,0.2844401
84,0.2844271
85,0.2856282
86,0.284581
87,0.281194
88,0.2779701
89,0.278311
90,0.2760201
91,0.2735068
92,0.2731956
93,0.2678144
94,0.2671013
95,0.2712657
96,0.2737184
97,0.2770179
98,0.2720861
99,0.2740354
100,0.2749942
